Acceleration(X),Acceleration(Y),Acceleration(Z),Gyroscope(X),Gyroscope(Y),Gyroscope(Z),Euler_Angles(Pitch),Euler_Angles(Roll),Euler_Angles(Yaw),Magnetometer(X),Magnetometer(Y),Magnetometer(Z)
0.011,-0.03,0.997,-0.044,0.057,-0.004,-0.77,-1.76,139.39,-30,-32,-8
0.014,-0.03,0.997,0.002,0.056,-0.034,-0.77,-1.76,139.39,-30,-32,-8
0.013,-0.03,0.997,-0.029,0.088,0.042,-0.77,-1.76,139.39,-30,-33,-8
0.013,-0.03,0.999,-0.03,0.011,0.042,-0.76,-1.76,139.39,-30,-32,-8
0.013,-0.03,0.999,-0.029,0.057,0.012,-0.76,-1.76,139.39,-30,-32,-8
0.016,-0.031,0.996,-0.045,-0.004,0.027,-0.76,-1.76,139.39,-30,-32,-8
0.014,-0.032,0.998,-0.045,-0.019,-0.019,-0.76,-1.76,139.39,-30,-33,-9
0.013,-0.033,0.998,-0.012,0.148,0.011,-0.76,-1.76,139.39,-30,-32,-8
0.015,-0.031,0.998,-0.045,-0.019,-0.003,-0.76,-1.76,139.39,-30,-32,-8
0.013,-0.032,1.0,0.032,0.025,-0.004,-0.76,-1.75,139.39,-30,-32,-9
0.011,-0.032,1.0,0.017,0.056,-0.019,-0.76,-1.76,139.39,-30,-32,-8
0.013,-0.03,0.999,0.001,-0.004,0.027,-0.76,-1.76,139.39,-31,-32,-8
0.014,-0.029,0.999,0.016,0.01,0.012,-0.76,-1.76,139.39,-31,-32,-8
0.014,-0.03,1.0,0.047,0.025,0.027,-0.76,-1.76,139.39,-30,-32,-8
0.014,-0.033,0.997,-0.0,-0.066,0.012,-0.76,-1.76,139.39,-30,-32,-8
0.013,-0.03,0.999,0.0,-0.035,-0.034,-0.76,-1.76,139.39,-30,-32,-8
0.013,-0.028,0.999,0.015,-0.081,-0.018,-0.76,-1.76,139.39,-30,-33,-9
0.015,-0.029,0.998,-0.015,-0.035,0.027,-0.76,-1.76,139.39,-30,-32,-8
0.013,-0.031,0.999,-0.014,0.042,0.012,-0.76,-1.76,139.39,-30,-32,-8
0.012,-0.029,0.997,0.015,-0.051,-0.11,-0.76,-1.76,139.39,-30,-32,-8
0.012,-0.029,0.996,0.032,0.072,0.057,-0.76,-1.76,139.39,-30,-32,-8
0.012,-0.029,0.996,0.032,0.056,0.057,-0.76,-1.76,139.39,-30,-32,-8
0.011,-0.032,0.999,0.033,0.102,-0.004,-0.76,-1.76,139.39,-30,-32,-8
0.014,-0.029,1.0,-0.015,-0.05,-0.003,-0.76,-1.76,139.39,-30,-33,-8
0.013,-0.029,0.999,-0.015,-0.004,0.027,-0.76,-1.76,139.39,-30,-33,-8
0.013,-0.032,0.998,-0.001,-0.081,0.027,-0.76,-1.76,139.39,-30,-32,-8
0.015,-0.03,0.997,-0.015,-0.035,0.042,-0.76,-1.76,139.39,-31,-32,-8
0.014,-0.029,0.996,0.002,0.072,0.027,-0.76,-1.76,139.39,-30,-32,-9
0.013,-0.03,0.998,-0.045,-0.019,-0.003,-0.76,-1.76,139.39,-30,-32,-8
0.012,-0.028,1.0,-0.001,-0.081,0.027,-0.76,-1.76,139.39,-30,-32,-8
0.014,-0.033,0.997,-0.014,0.057,-0.034,-0.76,-1.76,139.39,-30,-32,-8
0.013,-0.03,0.998,-0.031,-0.05,0.073,-0.76,-1.76,139.39,-30,-32,-8
0.013,-0.029,0.999,0.03,-0.066,-0.034,-0.76,-1.76,139.39,-30,-33,-8
0.011,-0.033,0.999,0.015,-0.051,-0.003,-0.76,-1.77,139.39,-30,-32,-8
0.014,-0.031,0.996,-0.03,-0.004,0.012,-0.77,-1.76,139.39,-30,-32,-8
0.013,-0.03,0.999,0.062,0.025,-0.004,-0.76,-1.77,139.39,-30,-32,-8
0.013,-0.031,0.997,0.03,-0.066,0.073,-0.76,-1.76,139.39,-30,-32,-8
0.013,-0.031,0.998,-0.03,0.011,0.027,-0.76,-1.76,139.39,-31,-32,-8
0.015,-0.029,1.0,0.031,0.01,-0.065,-0.77,-1.76,139.39,-30,-33,-8
0.013,-0.033,0.997,0.06,-0.082,-0.049,-0.77,-1.76,139.39,-30,-32,-8
0.012,-0.031,0.997,0.016,0.026,0.042,-0.77,-1.76,139.39,-30,-32,-8
0.014,-0.03,0.997,0.015,-0.051,-0.003,-0.77,-1.76,139.39,-30,-33,-8
0.014,-0.031,0.998,-0.061,-0.034,-0.003,-0.77,-1.76,139.39,-30,-33,-8
0.012,-0.031,0.996,-0.014,0.072,0.011,-0.77,-1.76,139.39,-31,-33,-8
0.012,-0.028,1.0,-0.03,0.011,-0.004,-0.77,-1.75,139.39,-30,-33,-8
0.013,-0.03,0.999,0.031,-0.036,-0.034,-0.77,-1.75,139.39,-30,-32,-8
0.014,-0.03,0.996,0.047,0.01,0.012,-0.77,-1.75,139.39,-30,-33,-8
0.013,-0.029,0.997,-0.031,-0.065,-0.034,-0.77,-1.75,139.39,-30,-32,-8
0.012,-0.032,1.0,0.0,-0.02,-0.049,-0.77,-1.76,139.39,-30,-33,-8
0.014,-0.03,0.999,0.014,-0.127,0.012,-0.77,-1.76,139.39,-30,-33,-8
0.011,-0.031,0.999,0.091,-0.082,-0.018,-0.77,-1.76,139.39,-30,-32,-8
0.012,-0.031,0.998,-0.001,-0.096,0.012,-0.77,-1.76,139.39,-30,-33,-8
0.012,-0.031,0.998,-0.0,-0.05,0.027,-0.78,-1.75,139.39,-31,-32,-8
0.012,-0.033,0.996,-0.03,0.011,-0.019,-0.77,-1.75,139.39,-31,-33,-8
0.014,-0.031,0.996,-0.044,0.073,0.073,-0.77,-1.75,139.39,-30,-32,-8
0.014,-0.032,0.999,0.031,-0.02,0.012,-0.77,-1.75,139.39,-31,-32,-8
0.013,-0.03,0.998,0.017,0.102,0.057,-0.77,-1.75,139.39,-30,-33,-8
0.013,-0.032,0.998,-0.046,-0.035,-0.08,-0.77,-1.75,139.39,-31,-32,-8
0.013,-0.032,1.0,-0.0,-0.066,0.012,-0.77,-1.75,139.39,-30,-32,-8
