Latitude,Longitude,mode,satellite
0.0,0.0,No Fix,4
0.0,0.0,No Fix,4
0.0,0.0,No Fix,4
0.0,0.0,No Fix,4
0.0,0.0,No Fix,4
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,5
0.0,0.0,No Fix,6
0.0,0.0,No Fix,6
0.0,0.0,No Fix,6
0.0,0.0,No Fix,6
0.0,0.0,No Fix,6
0.0,0.0,No Fix,6
0.0,0.0,No Fix,6
0.0,0.0,No Fix,6
0.0,0.0,No Fix,6
0.0,0.0,No Fix,6
0.0,0.0,No Fix,6
